卡司,频次,平均评分,百分比
徐峥,8,7.49,0.8
 黄渤,8,7.54,0.8
邓超,8,6.25,0.8
黄渤,7,7.44,0.7
葛优,6,7.28,0.6
周星驰,6,8.5,0.6
 徐峥,6,7.57,0.6
吴京,6,7.3,0.6
 张译,6,7.3,0.6
 吴孟达,5,8.58,0.5
梁朝伟,5,7.3,0.5
沈腾,5,7.0,0.5
 杜江,5,7.36,0.5
 舒淇,5,7.1,0.5
 沈腾,5,6.5,0.5
杨幂,5,5.22,0.5
 葛优,4,8.58,0.4
 姜武,4,7.92,0.4
 谭卓,4,7.78,0.4
 梁家辉,4,7.72,0.4
周冬雨,4,7.2,0.4
 王宝强,4,7.62,0.4
 于和伟,4,6.95,0.4
王宝强,4,6.33,0.4
 肖央,4,6.93,0.4
 马丽,4,6.72,0.4
 张雨绮,4,7.3,0.4
 周冬雨,4,6.75,0.4
 欧豪,4,5.95,0.4
 袁泉,4,6.73,0.4
 马思纯,4,6.62,0.4
 刘德华,4,7.17,0.4
 郑恺,4,6.07,0.4
 倪妮,4,6.6,0.4
 白百何,4,5.82,0.4
刘德华,4,7.42,0.4
 章子怡,4,7.55,0.4
 杨幂,4,6.53,0.4
 郭采洁,4,4.95,0.4
 郭碧婷,4,4.95,0.4
成龙,4,7.25,0.4
 余男,4,7.7,0.4
甄子丹,4,7.25,0.4
 巩俐,3,9.0,0.3
 陈冲,3,8.47,0.3
 郭涛,3,8.57,0.3
 莫文蔚,3,8.23,0.3
 易烊千玺,3,7.57,0.3
 黄景瑜,3,7.0,0.3
 海清,3,7.97,0.3
 刘昊然,3,6.53,0.3
 佟丽娅,3,7.4,0.3
 田雨,3,6.63,0.3
张涵予,3,7.43,0.3
 彭于晏,3,7.47,0.3
 张震,3,8.0,0.3
 张涵予,3,7.7,0.3
 秦昊,3,7.1,0.3
彭于晏,3,5.9,0.3
 廖凡,3,7.13,0.3
 姜皓文,3,7.37,0.3
 金士杰,3,7.2,0.3
王千源,3,7.47,0.3
 董子健,3,6.1,0.3
白百何,3,7.1,0.3
 井柏然,3,5.87,0.3
 孙俪,3,6.13,0.3
 王千源,3,7.53,0.3
 王景春,3,7.03,0.3
 范伟,3,6.7,0.3
 段奕宏,3,7.6,0.3
 彭昱畅,3,7.03,0.3
 朱亚文,3,7.03,0.3
 吴彦祖,3,7.63,0.3
 李冰冰,3,7.4,0.3
 乔杉,3,6.1,0.3
 邓家佳,3,6.13,0.3
 包贝尔,3,5.87,0.3
 柯震东,3,4.93,0.3
 林更新,3,6.6,0.3
姜文,2,9.15,0.2
 蓝洁瑛,2,9.1,0.2
 章宇,2,8.5,0.2
 陈坤,2,7.9,0.2
 陶虹,2,8.2,0.2
张曼玉,2,8.65,0.2
 甄子丹,2,7.75,0.2
 任达华,2,8.25,0.2
 李治廷,2,8.15,0.2
 王力宏,2,8.05,0.2
 刘桦,2,8.05,0.2
 赵今麦,2,7.35,0.2
 常远,2,6.6,0.2
 尹昉,2,7.55,0.2
 吴越,2,8.15,0.2
张译,2,7.8,0.2
 尹正,2,7.35,0.2
 艾伦,2,6.2,0.2
 吴刚,2,7.1,0.2
 卢靖姗,2,5.85,0.2
 任素汐,2,7.1,0.2
 王砚辉,2,7.2,0.2
 陈赫,2,7.7,0.2
周润发,2,8.2,0.2
 郭富城,2,7.9,0.2
 张静初,2,7.9,0.2
 冯文娟,2,8.0,0.2
 罗志祥,2,6.95,0.2
 林允,2,6.1,0.2
黄轩,2,7.3,0.2
 宋阳,2,5.7,0.2
任素汐,2,7.8,0.2
 王戈,2,7.25,0.2
 黄晓明,2,7.95,0.2
 许晴,2,7.25,0.2
 张天爱,2,5.95,0.2
 秦沛,2,6.95,0.2
雷佳音,2,6.65,0.2
汤姆·克鲁斯,2,8.0,0.2
 文·瑞姆斯,2,8.0,0.2
 西蒙·佩吉,2,8.0,0.2
 丽贝卡·弗格森,2,8.0,0.2
黄晓明,2,7.0,0.2
 邓超,2,7.3,0.2
 佟大为,2,8.0,0.2
 杜鹃,2,6.65,0.2
 钟汉良,2,6.95,0.2
 李小璐,2,6.85,0.2
 李雪健,2,7.75,0.2
 陈柏霖,2,7.15,0.2
 王珞丹,2,7.75,0.2
 王耀庆,2,7.4,0.2
 张子萱,2,6.4,0.2
汤唯,2,6.85,0.2
 吴秀波,2,6.85,0.2
易烊千玺,2,7.3,0.2
 刘浩存,2,7.3,0.2
 朱媛媛,2,7.05,0.2
 夏雨,2,7.3,0.2
 杨祐宁,2,5.8,0.2
陈坤,2,7.3,0.2
张子枫,2,6.85,0.2
 郭京飞,2,6.2,0.2
范·迪塞尔,2,7.75,0.2
 杰森·斯坦森,2,7.75,0.2
 米歇尔·罗德里格兹,2,7.75,0.2
 李晨,2,7.6,0.2
 秦海璐,2,7.95,0.2
 图特哈蒙,2,7.2,0.2
 刘芮麟,2,6.85,0.2
 雷佳音,2,7.15,0.2
 岳云鹏,2,6.2,0.2
 杨洋,2,5.5,0.2
大鹏,2,6.2,0.2
 古力娜扎,2,5.85,0.2
 李鸿其,2,5.8,0.2
 韩童生,2,7.5,0.2
杨子姗,2,6.8,0.2
 鹿晗,2,6.7,0.2
井柏然,2,6.55,0.2
 喻恩泰,2,7.3,0.2
 陈明昊,2,6.8,0.2
 谢依霖,2,5.0,0.2
周迅,2,7.6,0.2
 蔡卓妍,2,7.65,0.2
 陈道明,2,8.0,0.2
 王双宝,2,8.3,0.2
 黄才伦,2,6.4,0.2
 斯科特·阿金斯,2,6.9,0.2
张震,2,7.45,0.2
 景甜,2,5.15,0.2
 孙艺洲,2,4.95,0.2
 段博文,2,6.3,0.2
 齐溪,2,7.7,0.2
 余文乐,2,6.2,0.2
马克·沃尔伯格,2,5.8,0.2
 杨采妮,2,7.7,0.2
 谢霆锋,2,7.5,0.2
 陈学冬,2,4.85,0.2
 姚晨,2,6.05,0.2
