类型,频次,平均评分,百分比
Drama,112,7.53,22.09
Comedy,80,6.93,15.78
Action,55,7.22,10.85
Romance,46,7.0,9.07
Fantasy,34,7.06,6.71
Crime,32,7.72,6.31
Mystery,22,7.27,4.34
Adventure,21,7.01,4.14
Costume,16,7.34,3.16
Science Fiction,13,6.88,2.56
War,12,7.8,2.37
Animation,10,7.94,1.97
History,10,7.99,1.97
Thriller,10,7.48,1.97
Family,7,8.11,1.38
Martial Arts,6,7.55,1.18
Biography,5,8.14,0.99
Disaster,5,7.42,0.99
Music,4,7.75,0.79
Western,2,8.65,0.39
Sports,2,7.6,0.39
LGBTQ,1,9.6,0.2
Erotic,1,8.6,0.2
China Mainland,1,6.5,0.2