序列,年份,电影,票房（万元）
1,2014,变形金刚4：绝迹重生,197509.0
2,2014,心花路放,116971.0
3,2014,西游记之大闹天宫,104343.0
4,2014,智取威虎山（3D）,88135.0
5,2014,星际穿越,75354.0
6,2014,X战警：逆转未来,72229.0
7,2014,美国队长2,71995.0
8,2014,猩球崛起2：黎明之战,70784.0
9,2014,爸爸去哪儿,69597.0
10,2014,分手大师,66495.0
11,2014,后会无期,62857.0
12,2014,匆匆那年,60350.0
13,2014,银河护卫队,59542.0
14,2014,超凡蜘蛛侠2,58539.0
15,2014,澳门风云,52463.0
16,2014,小时代3：刺金时代,52131.0
17,2014,一步之遥,51107.0
18,2014,哥斯拉,48126.0
19,2014,霍比特人：史矛革之战,46259.0
20,2014,同桌的妳,45557.0
21,2014,敢死队3,45190.0
22,2014,极品飞车,41154.0
23,2014,京城81号,41149.0
24,2014,明日边缘,40630.0
25,2014,北京爱情故事,40537.0
26,2014,驯龙高手2,40301.0
27,2014,白发魔女传之明月天国,38905.0
28,2014,忍者神龟：变种时代,38520.0
29,2014,亲爱的,34286.0
30,2014,神偷奶爸2,32375.0
31,2014,机械战警,31478.0
32,2014,窃听风云3,30816.0
33,2014,冰雪奇缘,29817.0
34,2014,沉睡魔咒,29614.0
35,2014,归来,29138.0
36,2014,微爱之渐入佳境,28565.0
37,2014,超体,27706.0
38,2014,催眠大师,27376.0
39,2014,马达加斯加的企鹅,25197.0
40,2014,熊出没之夺宝熊兵,24786.0
41,2014,里约大冒险2,24239.0
42,2014,撒娇女人最好命,22865.0
43,2014,一生一世,22781.0
44,2014,老男孩之猛龙过江,20871.0
45,2014,闺蜜,20459.0
46,2014,痞子英雄2：黎明升起,20370.0
47,2014,太平轮：乱世浮生,19867.0
48,2014,单身男女2,19842.0
49,2014,四大名捕大结局,19223.0
50,2014,暴力街区,18731.0
51,2014,黄飞鸿之英雄有梦,18204.0
52,2014,一触即发,16058.0
53,2014,我的早更女友,16028.0
54,2014,移动迷宫,14986.0
55,2014,重生之门,14262.0
56,2014,安德的游戏,13870.0
57,2014,前任攻略,12961.0
58,2014,超验骇客,12582.0
59,2014,天才眼镜狗,12156.0
60,2014,十万个冷笑话,11953.0
61,2014,狂怒,11829.0
62,2014,一个人的武林,11769.0
63,2014,不惧风暴,11024.0
64,2014,魔警,10831.0
65,2014,空中营救,10525.0
66,2014,白日焰火,10256.0
67,2014,临时同居,10104.0
68,2014,庞贝末日,9753.0
69,2014,反贪风暴,9530.0
70,2014,绣春刀,9339.0
71,2014,喜羊羊与灰太狼之飞马奇遇记,8715.0
72,2014,整容日记,8429.0
73,2014,宙斯之子：赫拉克勒斯,8251.0
74,2014,六福喜事,8078.0
75,2014,救火英雄,7712.0
76,2014,分歧者：异类觉醒,7643.0
77,2014,触不可及,7588.0
78,2014,雪国列车,7462.0
79,2014,英雄之战,7450.0
80,2014,露水红颜,6587.0
81,2014,赛尔号大电影4：圣魔之战,6231.0
82,2014,神秘世界历险记2,6230.0
83,2014,盗马记,6220.0
84,2014,秦时明月大电影之龙腾万里,5985.0
85,2014,神笔马良,5836.0
86,2014,龙之谷：破晓奇兵,5753.0
87,2014,别惹我,5640.0
88,2014,脱轨时代,5440.0
89,2014,黄金时代,5149.0
90,2014,笔仙III,5031.0
91,2014,笔仙惊魂3,5016.0
92,2014,火鸡总动员,4950.0
93,2014,潜艇总动员4：章鱼奇遇记,4812.0
94,2014,洛克王国3之圣龙的守护,4752.0
95,2014,盟军夺宝队,4670.0
96,2014,冰川时代：融冰之灾（3D）,4400.0
97,2014,猪猪侠之勇闯巨人岛,4358.0
98,2014,铠甲勇士之雅塔莱斯,4305.0
99,2014,麦兜我和我妈妈,4250.0
100,2014,新大头儿子和小头爸爸之秘密计划,4228.0
101,2014,斑马总动员,3939.0
102,2014,甜蜜杀机,3710.0
103,2014,绝命航班,3630.0
104,2014,抢劫坚果店,3619.0
105,2014,全城通缉,3486.0
106,2014,家园防线,3240.0
107,2014,天河,3099.0
108,2014,昆虫总动员,2909.0
109,2014,考拉大冒险,2890.0
110,2014,完美假妻168,2850.0
111,2014,大话天仙,2798.0
112,2014,开心超人2：启源星之战,2760.0
113,2014,疯狂72小时,2727.0
114,2014,鸣梁海战,2655.0
115,2014,摩纳哥王妃,2613.0
116,2014,辛巴达历险记2,2587.0
117,2014,怨灵人偶,2578.0
118,2014,大力神,2520.0
119,2014,极地大冒险2,2441.0
120,2014,百变爱人,2400.0
121,2014,魁拔Ⅲ,2374.0
122,2014,3D食人虫,2241.0
123,2014,好命先生,2200.0
124,2014,夜莺,2189.0
125,2014,魔幻仙踪,2180.0
126,2014,谁说我们不会爱,2140.0
127,2014,机器纪元,2108.0
128,2014,美国骗局,2080.0
129,2014,我在路上最爱你,2070.0
130,2014,碟仙诡谭,1981.0
131,2014,幻影车神：魔盗激情,1951.0
132,2014,巴啦啦小魔仙之魔法的考验,1914.0
133,2014,丛林之王,1893.0
134,2014,怨灵,1882.0
135,2014,81号农场之疯狂的麦咭,1832.0
136,2014,白雪公主之矮人力量,1771.0
137,2014,末日浩劫,1696.0
138,2014,不能说的夏天,1663.0
139,2014,美女与野兽,1632.0
140,2014,床下有人2,1491.0
141,2014,人间·小团圆,1428.0
142,2014,过界男女,1425.0
143,2014,大话西游之大圣娶亲,1404.0
144,2014,男人不可以穷,1372.0
145,2014,夜半梳头,1330.0
146,2014,推拿,1314.0
147,2014,我的播音系女友,1280.0
148,2014,女生宿舍,1264.0
149,2014,恐怖电影院,1219.0
150,2014,驯龙骑士,1190.0
151,2014,冬荫功2：拳霸天下,1157.0
152,2014,赞鸟历险记,1140.0
153,2014,火线反攻,1140.0
154,2014,龟兔再跑,1092.0
155,2014,江湖论剑实录,1090.0
156,2014,等一个人咖啡,1054.0
157,2014,天上的菊美,1036.0
158,2014,不再说分手,1030.0
159,2014,大话西游之月光宝盒,1018.0
160,2014,深夜前的五分钟,1003.0
161,2014,坏姐姐之拆婚联盟,985.0
162,2014,动物也疯狂,983.0
163,2014,西藏天空,935.0
164,2014,绝密跟踪,906.0
165,2014,密道追踪之阴兵虎符,888.0
166,2014,最佳嫌疑人,870.0
167,2014,狂野非洲（3D）,865.0
168,2014,聪明的一休之反斗公主,798.0
169,2014,恶战,797.0
170,2014,还魂之迷失曼谷,770.0
171,2014,爱情进化论,754.0
172,2014,洋妞到我家,743.0
173,2014,特工艾米拉,730.0
174,2014,美人邦,715.0
175,2014,诡八楼,704.0
176,2014,化妆师,670.0
177,2014,我就是我,650.0
178,2014,死亡邮件,640.0
179,2014,拆散专家,636.0
180,2014,孤胆保镖,630.0
181,2014,挑战者联盟,620.0
182,2014,花咒,617.0
183,2014,非狐外传,590.0
184,2014,诡替身,590.0
185,2014,封门村,566.0
186,2014,怖偶,560.0
187,2014,死亡派对,535.0
188,2014,闪魂,526.0
189,2014,秘术,493.0
190,2014,激浪青春,480.0
191,2014,分手达人,430.0
192,2014,蓝色骨头,410.0
193,2014,林中小屋(2014中国版),400.0
194,2014,火山对对碰,390.0
195,2014,求爱嫁期,380.0
196,2014,绝命逃亡,370.0
197,2014,孤岛,355.0
198,2014,太空熊猫总动员,350.0
199,2014,城市游戏,325.0
200,2014,缘来是游戏,324.0
201,2014,李可乐寻人记,317.0
202,2014,谁动了我的梦想,308.0
203,2014,永远的焦裕禄,299.0
204,2014,我想结婚的时候你在哪,281.0
205,2014,硬汉奶爸,271.0
206,2014,下一站再爱你,254.0
207,2014,心咒,243.0
208,2014,香气,232.0
209,2014,Q版三国之三小强,221.0
210,2014,忘了去懂你,214.0
211,2014,摩登森林之美食总动员,212.0
212,2014,警察日记,206.0
213,2014,江南爱情故事,202.0
214,2014,放手爱,198.0
215,2014,虐面人之死灵面膜,195.0
216,2014,有一天,193.0
217,2014,我的青春蜜友,174.0
218,2014,21岁派对,168.0
219,2014,狙击时刻,162.0
220,2014,超萌英雄,156.0
221,2014,一号目标,150.0
222,2014,喵星少年漂流记,140.0
223,2014,黄克功案件,135.0
224,2014,爱你一世一生,130.0
225,2014,我是狼,130.0
226,2014,斐济99℃爱情,126.0
227,2014,大宅男,115.0
228,2014,我们毕业的夏天,102.0
229,2014,破局,100.0
230,2014,黑月,96.0
231,2014,精武青春,93.0
232,2014,古堡之吻,86.0
233,2014,一个温州的女人,83.0
234,2014,潜龙风云,83.0
235,2014,再爱一次好不好,76.0
236,2014,命运派对,75.0
237,2014,我是你的野蛮女友,75.0
238,2014,夺樽,70.0
239,2014,求爱大作战,70.0
240,2014,爱情狂想曲,58.0
241,2014,0.5的爱情,55.0
242,2014,大峰祖师,48.0
243,2014,第一眼爱情,47.0
244,2014,十二生肖城市英雄,43.0
245,2014,永春白鹤拳之擎天画卷,43.0
246,2014,与贼同屋,41.0
247,2014,U盘,41.0
248,2014,恋者多喜欢,38.0
249,2014,37次想你,37.0
250,2014,菊花台,36.0
251,2014,这个大叔不太囧,33.0
252,2014,飞鱼秀,32.0
253,2014,海神密码,30.0
254,2014,近距离击杀,30.0
255,2014,卧龙岗,29.0
256,2014,青春.com,28.0
257,2014,神通佛影,26.0
258,2014,飞跃地心,26.0
259,2014,黎明之眼,25.0
260,2014,爱你不等来生,20.0
261,2014,换爱七日,18.0
262,2014,哭恋,14.0
263,2014,等你追我,8.0
264,2014,神剑传奇,8.0
265,2014,斗茶,7.0
266,2014,环城七十里,6.0
267,2014,从哪来，到哪去,6.0
268,2014,街舞小子,6.0
269,2014,青春时光,6.0
270,2014,我不是贼,5.0
271,2014,分手木马计,5.0
272,2014,森林孤影,3.0
273,2014,凤凰台,2.0
274,2014,凡人烦恼,2.0
275,2014,我要你开花,暂无
276,2014,金秋鹿鸣,暂无
277,2014,王牌,暂无
278,2014,向阳花开,暂无
279,2014,破五,未知
280,2014,末日情人,未知
