,movie_id,movie_name,movie_vote,movie_voter,movie_5star,movie_4star,movie_3star,movie_2star,movie_1star,movie_shortcom_num
191,26580012,杨门女将,9.1,232,70.9%,20.6%,5.3%,0.0%,3.2%,65
192,26606743,嫌疑人X的献身,6.3,292036,5.4%,23.7%,54.5%,13.9%,2.4%,97765
193,26647117,暴裂无声,8.2,482739,31.2%,50.7%,16.1%,1.7%,0.3%,128943
194,26654146,解忧杂货店,5.0,191905,4.4%,10.0%,34.0%,33.4%,18.3%,62524
195,26662193,前任3：再见前任,5.6,385670,6.1%,16.3%,39.6%,24.9%,13.0%,133826
196,26671361,喜丧,8.8,27012,50.9%,38.7%,9.4%,0.8%,0.2%,10955
197,26672579,棱角杯 قىرلىق ئىستاكان,9.4,673,78.5%,15.2%,4.5%,0.4%,1.4%,156
198,26683723,后来的我们,5.9,361934,7.2%,19.8%,42.9%,21.7%,8.4%,134022
199,26694491,大红灯笼高高挂 The Bright Red Lanterns Hung High,8.8,3896,49.2%,43.0%,7.1%,0.4%,0.2%,253
200,26698897,唐人街探案2,6.6,889068,8.4%,31.5%,44.8%,11.7%,3.5%,248287
201,26709258,罗小黑战记,8.0,514477,32.2%,42.2%,21.7%,3.3%,0.6%,180298
202,26715636,地久天长,8.0,357527,28.1%,46.5%,21.6%,3.1%,0.7%,124160
203,26728669,风中有朵雨做的云,7.2,398286,13.3%,42.4%,36.7%,6.3%,1.4%,139646
204,26752088,我不是药神,9.0,2063670,58.7%,33.7%,6.9%,0.5%,0.2%,533381
205,26754233,八佰,7.5,803527,18.7%,45.4%,30.0%,4.3%,1.6%,252650
206,26790961,闪光少女,7.2,288896,15.6%,41.4%,34.4%,6.9%,1.8%,103097
207,26794435,哪吒之魔童降世,8.4,1792843,42.4%,39.1%,15.6%,2.2%,0.8%,614935
208,26803826,坐在人生边上——杨绛,9.0,1106,59.1%,32.3%,7.3%,0.4%,0.8%,315
209,26811587,大护法,7.8,355380,24.9%,45.9%,24.2%,3.8%,1.1%,123761
210,26816076,“大”人物,6.4,219520,5.7%,26.1%,53.4%,12.5%,2.3%,57599
211,26816383,喜欢你,6.7,318826,8.9%,32.4%,45.7%,10.8%,2.1%,108965
212,26826330,刺杀小说家,6.5,639450,6.7%,31.9%,45.1%,13.2%,3.1%,266487
213,26830080,极限公益联欢会,9.2,5915,72.8%,18.7%,6.5%,1.0%,1.0%,1016
214,26837989,降魔成道,9.0,170,64.6%,24.4%,7.1%,3.1%,0.8%,47
215,26861685,红海行动,8.2,1017740,37.7%,41.4%,17.3%,2.5%,1.0%,283973
216,26862259,乘风破浪,6.8,577545,12.3%,33.1%,40.7%,10.3%,3.5%,174784
217,26862829,芳华,7.7,787499,21.8%,45.5%,27.8%,4.0%,1.0%,237284
218,26885074,叶问4：完结篇 葉問4：完結篇,6.8,287578,9.4%,33.4%,45.6%,9.8%,1.7%,80468
219,26920265,绝境求生 A Harsh Transition,8.8,828,47.9%,43.7%,7.0%,1.4%,0.0%,297
220,26925317,动物世界,7.2,543643,11.4%,44.0%,37.3%,5.8%,1.5%,182507
221,26926321,缝纫机乐队,6.6,358736,11.5%,27.1%,43.5%,13.9%,4.0%,106589
222,26928839,挥师三江,8.8,140,55.0%,30.0%,13.0%,2.0%,0.0%,52
223,26946612,狐妖小红娘剧场版：王权富贵,9.3,14037,70.7%,23.3%,4.8%,0.5%,0.7%,3281
224,26972258,江湖儿女,7.6,288452,17.0%,50.0%,29.0%,3.4%,0.6%,91542
225,26972694,狐妖小红娘剧场版：月红篇,9.3,14223,71.6%,22.9%,4.4%,0.5%,0.7%,2987
226,26985127,一出好戏,7.1,882149,12.4%,40.6%,37.8%,7.3%,1.9%,246633
227,27038183,羞羞的铁拳,6.8,700475,11.0%,33.2%,43.3%,10.0%,2.5%,198873
228,27059170,王菲：幻乐一场,8.9,4877,59.9%,26.4%,11.2%,1.4%,1.2%,1573
229,27060077,绿皮书 Green Book,8.9,1617241,54.9%,37.5%,7.1%,0.4%,0.1%,390550
230,27062669,人生AB剧,8.7,82,57.6%,25.4%,15.3%,0.0%,1.7%,21
231,27085647,恋习课,8.4,266,50.7%,28.0%,17.3%,0.0%,4.0%,97
232,27092785,李茶的姑妈,4.6,316942,2.4%,7.2%,30.6%,37.7%,22.1%,91597
233,27102569,悲伤逆流成河,5.8,255169,7.6%,19.6%,38.0%,24.6%,10.3%,81468
234,27110296,无名之辈,8.0,1004554,28.6%,47.6%,20.6%,2.7%,0.5%,277651
235,27119392,狼图腾：一人一生一座城,9.0,251,62.1%,27.6%,8.6%,1.7%,0.0%,55
236,27124569,化茧成蝶：2016年欧洲杯纪录片,9.1,611,61.1%,33.3%,5.6%,0.0%,0.0%,128
237,27133303,超时空同居,6.8,513079,8.0%,34.3%,48.5%,8.1%,1.1%,148107
238,27167015,余英时访谈录,9.1,209,65.1%,28.9%,2.6%,0.0%,3.3%,56
239,27605698,西虹市首富,6.6,999629,10.3%,28.6%,43.6%,13.5%,4.0%,279454
240,27619748,唐人街探案3,5.3,1044707,3.6%,12.4%,41.1%,29.7%,13.2%,474983
241,27663742,老师·好,6.6,275821,9.4%,29.3%,47.1%,12.1%,2.1%,79201
242,2995169,关爱之家,9.1,295,67.5%,22.2%,9.4%,0.5%,0.5%,69
243,30122633,快把我哥带走,6.8,385920,10.7%,32.0%,44.7%,10.6%,2.0%,122628
244,3012377,神兵小将,8.8,23625,56.1%,31.9%,9.9%,1.2%,0.7%,4977
245,30128916,夺冠,7.1,429679,12.3%,39.3%,40.7%,6.6%,1.1%,143896
246,30142123,猫咪小贝,9.2,703,71.7%,19.7%,7.6%,0.2%,0.8%,150
247,30163509,飞驰人生,6.9,888033,11.4%,34.9%,41.3%,10.3%,2.2%,268811
248,30166972,少年的你,8.2,1441872,33.9%,46.6%,16.1%,2.1%,1.3%,487373
249,30171424,拆弹专家2,7.4,556428,13.4%,50.3%,32.0%,3.7%,0.5%,198365
250,30174085,怒火·重案 怒火,7.2,426781,10.0%,44.6%,40.2%,4.7%,0.6%,176169
251,30176393,误杀,7.5,873110,15.6%,50.0%,29.6%,3.9%,0.9%,267109
252,30221757,烈火英雄,6.4,313499,9.6%,24.5%,45.0%,15.8%,5.0%,107690
253,30252495,1917,8.5,502285,37.3%,50.1%,11.6%,0.8%,0.2%,152227
254,30269016,半个喜剧,7.3,543062,13.8%,44.5%,34.7%,5.7%,1.2%,159813
255,30282387,银河补习班,6.2,363103,10.4%,22.9%,41.0%,19.8%,5.9%,124163
256,30290562,优雅卫士：内斯塔,9.2,245,69.7%,21.8%,6.4%,1.1%,1.1%,50
257,30290841,决战兰州,8.7,276,52.4%,34.9%,9.5%,3.2%,0.0%,78
258,30291567,杰拉德：永不独行,9.1,466,70.0%,20.6%,6.2%,0.8%,2.4%,75
259,30292834,追风少年,9.0,238,61.0%,31.6%,5.3%,0.0%,2.1%,37
260,30295905,中国机长,6.6,724672,9.4%,29.6%,44.7%,13.5%,2.8%,239
261,30306570,囧妈,5.9,584624,5.5%,15.5%,49.9%,24.3%,4.8%,203009
262,30307233,首楞严演义,9.2,257,75.7%,11.4%,10.0%,2.9%,0.0%,82
263,30331149,白蛇：缘起,7.8,741345,23.8%,45.3%,27.1%,3.3%,0.5%,240145
264,3037329,遥望南方的童年,9.3,35894,72.2%,23.5%,3.9%,0.3%,0.1%,13360
265,30377703,来电狂响,5.7,283663,3.6%,16.8%,47.9%,25.9%,5.8%,81352
266,30413052,攀登者,6.0,314950,5.8%,19.8%,48.1%,20.5%,5.8%,110293
267,3041806,叶问 葉問,7.8,370858,19.6%,51.6%,26.7%,1.8%,0.3%,39263
268,30419843,哔哩哔哩2016拜年祭,8.7,244,54.3%,33.0%,9.1%,0.5%,3.0%,48
269,3062897,葫芦兄弟,8.9,50080,55.0%,34.6%,9.2%,0.9%,0.3%,8808
270,3069861,群英会,9.2,777,78.1%,11.8%,6.8%,0.7%,2.5%,214
271,3077412,寻龙诀,7.4,593630,17.3%,44.0%,32.5%,4.9%,1.2%,180552
272,3097352,剃头匠,9.2,19161,67.9%,26.9%,4.6%,0.3%,0.2%,5795
273,3118101,236号麋鹿,8.8,119,55.8%,28.6%,14.3%,1.3%,0.0%,39
274,3168101,毒液：致命守护者 Venom,7.2,815527,11.8%,42.0%,40.2%,5.3%,0.7%,213482
275,3173528,2008年第29届北京奥运会开幕式 Beijing 2008 Olympics Games Opening Ceremony,9.2,44778,71.6%,21.1%,5.9%,0.7%,0.7%,8649
276,3231742,钢铁侠3 Iron Man 3,7.9,418149,25.1%,45.9%,26.0%,2.4%,0.5%,93945
277,32493124,悬崖之上,7.4,741325,11.7%,50.0%,34.0%,3.6%,0.7%,246109
278,32659890,我和我的祖国,7.6,995406,20.8%,44.8%,29.4%,3.9%,1.1%,297252
279,3313801,非诚勿扰,7.2,415430,12.8%,42.6%,39.3%,4.5%,0.9%,51291
280,33425521,张学友1/2世纪世界巡回演唱会,9.3,496,76.6%,17.1%,3.7%,0.5%,2.1%,72
281,33425522,学友.光年世界巡回演唱会,9.1,218,72.6%,17.3%,5.4%,1.2%,3.6%,40
282,33425594,红楼梦文艺晚会,9.0,328,67.9%,20.2%,8.7%,1.2%,2.0%,88
283,3369426,T省的84·85年,8.7,10580,47.9%,41.0%,9.8%,1.0%,0.3%,4895
284,34809305,魔天伦世界巡回演唱会,9.1,1367,69.1%,22.8%,5.7%,1.0%,1.4%,380
285,34841067,你好，李焕英,7.7,1381649,23.4%,45.0%,27.1%,3.6%,0.9%,526420
286,34841525,永不消逝的电波(舞剧),9.4,2018,74.5%,18.6%,6.9%,0.0%,0.0%,754
287,34875547,2008年北京奥运会闭幕式 Beijing 2008 Olympic Games Closing Ceremony,9.3,1072,73.8%,18.8%,5.8%,0.7%,0.9%,81
288,34880302,人潮汹涌,6.5,389582,6.5%,30.3%,48.6%,12.9%,1.8%,146272
289,34894753,沐浴之王,6.0,303761,3.8%,18.4%,53.3%,20.5%,4.0%,97789
290,34929639,国家宝藏·国宝音乐会,9.1,756,59.7%,35.5%,4.8%,0.0%,0.0%,204
291,34930755,bilibili晚会二零一九最美的夜,9.0,34970,58.5%,32.8%,7.8%,0.5%,0.3%,12618
292,34964209,“黄河之水天上来”国宝音乐会,9.3,632,68.1%,29.2%,2.7%,0.0%,0.0%,196
293,34990464,范尼：禁区之王,8.9,81,63.3%,21.7%,13.3%,1.7%,0.0%,13
294,34990857,巴拉克：战车之魂,8.9,86,62.1%,27.3%,7.6%,0.0%,3.0%,22
295,34996350,筑梦青春——中央电视台2016年“五月的鲜花”全国大中学生文艺会演,9.1,75,74.6%,14.3%,6.3%,0.0%,4.8%,5
296,35040433,C罗曼联的红色记忆,9.0,103,64.9%,19.5%,14.3%,1.3%,0.0%,19
297,35044551,TME live 刘若英“陪你”线上演唱会,9.1,778,62.0%,34.5%,2.1%,0.7%,0.7%,253
298,35051512,我和我的家乡,7.0,642369,12.3%,37.9%,38.8%,8.9%,2.1%,207878
299,35096844,送你一朵小红花,7.2,734477,14.6%,40.6%,36.3%,6.8%,1.6%,277827
300,35131346,隐入尘烟,8.4,505490,39.9%,45.3%,12.6%,1.7%,0.5%,198038
301,35144311,雄狮少年,8.3,476985,35.3%,46.2%,15.5%,2.0%,1.0%,215203
302,35158160,我的姐姐,6.9,364100,8.5%,39.7%,42.2%,7.4%,2.1%,149124
303,35182891,易烊千玺2019玊尔演唱会,8.8,6534,67.2%,18.0%,4.9%,3.3%,6.6%,1776
304,35183042,独行月球,6.6,660512,10.0%,30.0%,44.1%,12.6%,3.3%,282767
305,35205443,“向后看 向前走”五条人线上音乐会,9.2,626,69.5%,25.3%,4.2%,0.0%,1.1%,157
306,35209654,TFBOYS三周年演唱会,9.0,595,79.9%,7.8%,3.8%,0.6%,7.8%,64
307,35267208,流浪地球2,8.3,1111559,44.9%,33.8%,16.1%,3.6%,1.6%,487930
308,35268240,星期五练习生 第二季,9.0,83,71.7%,11.7%,13.3%,1.7%,1.7%,15
309,35288735,TME Live 吴青峰「16叶」线上演唱会 TME Live 吳青峰「16葉」線上演唱會,9.4,586,79.0%,16.0%,2.5%,0.0%,2.5%,125
310,3530403,云图 Cloud Atlas,8.1,393420,34.0%,42.6%,19.8%,2.8%,0.9%,130048
311,35312437,奇迹·笨小孩,7.4,542510,17.0%,43.4%,32.8%,4.9%,1.8%,207687
312,35362402,当潮不让·你好·牛——2021年河南省春节晚会,9.0,617,63.2%,25.3%,10.3%,1.1%,0.0%,205
313,35372742,无名,6.6,605541,15.2%,28.5%,36.2%,13.1%,7.0%,310727
314,35375238,河南卫视元宵节特别节目—河南博物院元宵奇妙夜,9.1,1559,62.1%,28.7%,9.2%,0.0%,0.0%,400
315,35376457,爱情神话,8.1,699887,27.8%,51.9%,17.8%,2.0%,0.5%,269098
316,35422807,扬名立万,7.4,714115,13.6%,48.9%,31.3%,5.2%,1.0%,234068
317,35430794,山河令生来知己演唱会,9.5,139280,81.8%,14.3%,3.6%,0.0%,0.3%,76787
318,35460157,人生大事,7.3,532133,14.7%,43.5%,35.8%,5.0%,1.0%,215069
319,35479277,罗大佑 北京-香港演唱会 羅大佑 北京-香港演唱會,9.5,145,87.3%,6.8%,3.4%,0.0%,2.5%,42
320,35494375,端午奇妙游,9.0,3518,62.9%,26.8%,9.3%,1.0%,0.0%,1158
321,35505100,这个杀手不太冷静,6.2,516948,3.7%,23.2%,53.5%,16.4%,3.3%,201340
322,35564186,中秋奇妙游,8.7,1261,48.8%,35.7%,15.5%,0.0%,0.0%,377
323,35766491,满江红,7.1,884770,18.5%,37.3%,30.7%,8.0%,5.5%,373807
324,3596502,唐山大地震,7.8,444693,23.5%,49.1%,24.1%,2.6%,0.7%,89360
325,3598383,七奶奶,8.9,100,58.6%,28.6%,12.9%,0.0%,0.0%,25
326,3649049,金陵十三钗,8.3,694131,36.4%,45.9%,15.3%,1.7%,0.7%,167455
327,3724033,荒山泪,9.1,589,68.5%,22.8%,6.4%,0.7%,1.6%,178
328,3726072,东邪西毒：终极版 東邪西毒終極版,8.8,193974,52.6%,36.6%,9.5%,1.0%,0.4%,40514
329,3732800,我们天上见,8.8,74287,49.1%,40.2%,9.9%,0.6%,0.1%,26191
330,3734112,风声,8.4,590611,36.1%,49.2%,13.5%,0.9%,0.2%,125569
331,3737287,袁隆平,9.0,9066,64.5%,24.8%,8.6%,1.2%,0.8%,4491
332,3739987,声音的漫游 Sound Pilgrimage,9.0,129,61.3%,31.3%,6.3%,0.0%,1.3%,31
333,3742360,让子弹飞,9.0,1670070,59.5%,31.6%,7.9%,0.7%,0.3%,319391
334,3792799,岁月神偷 歲月神偷,8.7,567989,48.6%,39.9%,10.6%,0.8%,0.2%,137166
335,3804492,丝路花雨,9.1,2203,68.1%,23.2%,6.7%,1.0%,0.9%,941
336,3804891,无人区,8.3,525070,34.3%,50.4%,14.0%,1.0%,0.3%,127993
337,3821067,一代宗师 一代宗師,8.1,600627,33.4%,44.8%,18.5%,2.4%,0.8%,186342
338,4073861,笨人王老大,8.8,1149,53.6%,34.5%,10.4%,1.1%,0.3%,362
339,4151110,山楂树之恋,7.1,333328,15.3%,35.7%,40.7%,6.9%,1.5%,83270
340,4212172,十二生肖,6.8,352062,10.5%,30.9%,47.5%,9.3%,1.8%,73847
341,4237879,人在囧途,7.8,626320,22.4%,49.8%,25.2%,2.3%,0.5%,104572
342,4271894,非诚勿扰2,6.6,321953,8.5%,27.6%,49.9%,11.7%,2.4%,77156
343,4281835,花木兰,8.7,397,54.6%,29.2%,12.7%,2.8%,0.7%,96
344,4719384,哀乐中年 哀樂中年,9.3,15870,68.7%,27.2%,3.7%,0.2%,0.2%,7525
345,4720779,秦香莲,9.0,539,61.5%,28.7%,7.2%,1.8%,0.8%,102
346,4724721,盘妻索妻,9.2,289,71.4%,21.4%,4.2%,0.5%,2.6%,94
347,4728526,抬花轿,9.0,362,62.8%,26.6%,8.2%,1.4%,1.0%,123
348,4728534,红娘,8.8,158,56.6%,31.9%,8.0%,1.8%,1.8%,44
349,4731050,牡丹亭,9.4,1923,76.1%,18.2%,4.7%,0.3%,0.7%,801
350,4739983,情探,8.8,411,55.8%,31.0%,11.2%,0.7%,1.3%,135
351,4804209,秦时明月之一舞倾城,9.0,7849,63.5%,27.6%,7.2%,0.8%,0.9%,1417
352,4812790,桃源镇,8.7,760,46.0%,45.3%,8.3%,0.3%,0.0%,165
353,4827535,越剧红楼梦,9.2,476,69.5%,22.3%,5.7%,1.3%,1.3%,133
354,4832295,寰宇地理之二战启示录,9.0,144,66.1%,23.2%,8.0%,0.9%,1.8%,28
355,4840388,新喜剧之王,5.7,397769,9.5%,16.8%,35.4%,25.4%,12.9%,119
356,4848095,重逢的日子,8.7,107,41.8%,51.9%,6.3%,0.0%,0.0%,37
357,4864908,影,7.2,576644,13.1%,43.7%,35.5%,6.2%,1.6%,187487
358,4873490,失恋33天,7.2,582002,13.6%,41.1%,39.4%,5.0%,1.0%,152005
359,4876722,钢的琴,8.5,369732,39.4%,47.5%,12.0%,0.9%,0.2%,102681
360,5045678,大鱼海棠,7.0,559209,17.6%,32.0%,35.8%,10.5%,4.1%,202688
361,5298980,春闺梦,8.7,105,47.7%,43.0%,7.0%,1.2%,1.2%,43
362,5301572,大宅门,9.3,10067,69.5%,25.5%,4.4%,0.4%,0.2%,3298
363,5308265,西游降魔篇,7.2,616558,15.3%,38.6%,37.0%,7.0%,2.0%,169118
364,5350027,妖猫传,6.9,719666,13.8%,35.2%,38.5%,9.5%,3.0%,264337
365,5960613,莫麟传奇,8.8,1953,55.6%,33.1%,9.5%,1.0%,0.8%,362
366,6011806,厨子戏子痞子,7.2,304641,14.4%,42.0%,35.4%,6.3%,1.8%,74040
367,6309399,黑籍冤魂,9.1,70,65.5%,21.8%,12.7%,0.0%,0.0%,57
368,6386345,春娇与志明 春嬌與志明,7.3,384698,16.2%,40.6%,36.4%,5.4%,1.4%,117199
369,6523906,佛说阿弥陀经,8.8,239,67.6%,18.4%,6.7%,3.4%,3.9%,55
370,6601412,沧桑梨园情,8.9,147,55.7%,36.5%,6.1%,0.0%,1.7%,45
371,6839142,三岔口,9.1,460,64.2%,28.1%,5.7%,0.9%,1.1%,121
372,6872241,诸葛亮吊孝,9.0,86,65.1%,22.2%,9.5%,1.6%,1.6%,16
373,6874741,无问西东,7.5,709820,25.3%,38.5%,26.5%,7.2%,2.4%,219402
374,6890730,寒战 寒戰,7.6,370861,15.8%,50.4%,30.8%,2.6%,0.4%,92149
375,6905207,1350KM,8.8,581,50.1%,38.9%,9.6%,1.3%,0.0%,164
376,6952649,孟姜女,8.7,352,50.2%,36.0%,12.6%,0.4%,0.8%,99
377,6973376,致我们终将逝去的青春,6.5,485110,9.4%,27.9%,46.3%,12.6%,3.7%,164829
378,6982558,长城 The Great Wall,4.9,394630,5.1%,10.9%,31.8%,27.1%,25.1%,160529
379,7054604,变形金刚4：绝迹重生 Transformers: Age of Extinction,6.7,323694,12.2%,28.5%,44.3%,11.8%,3.2%,91274
